proposal_id,text
P0703,Implement smart fill-level monitoring on dustbins across the university campus near Ward 8. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0704,"Design a low-cost greywater reuse system for a hostel block in Riverfront Colony. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0705,"Create a GIS map of informal waste dumping sites around Yamuna Enclave. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0706,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Lakeview Colony. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0707,"Conduct a household survey on plastic waste segregation behaviors in Transport Nagar. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0708,Develop a small web-based tool to prioritize drainage improvements in Shivaji Nagar using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0709,"Conduct a household survey on plastic waste segregation behaviors in Old Town. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0710,"Carry out microbiological testing of stored household drinking water in Green Park Extension, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0711,"Design a combined air quality and noise monitoring node for a busy junction in Yamuna Enclave. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0712,"Create an online training module for sewer maintenance teams operating near Shivaji Nagar. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0713,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Ward 12. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0714,"Design a low-cost water quality survey of handpumps in Station Road Area. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0715,"Design a combined air quality and noise monitoring node for a busy junction in Ward 12. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0716,"Create a GIS map of informal waste dumping sites around Transport Nagar. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0717,"Design a low-cost greywater reuse system for a hostel block in Hostel Zone B. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0718,"Prototype a solar-powered pump system to lift water from a small farm pond near Yamuna Enclave. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0719,"Design a low-cost water quality survey of handpumps in Shivaji Nagar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0720,"Prepare a policy brief comparing local construction debris rules in Ward 8 with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0721,"Prototype a solar-powered pump system to lift water from a small farm pond near Hostel Zone B. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0722,"Estimate rooftop rainwater harvesting potential for a group of houses in Station Road Area using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0723,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Ward 8. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0724,"Prototype a solar-powered pump system to lift water from a small farm pond near Ganga Vihar. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0725,"Estimate rooftop rainwater harvesting potential for a group of houses in Hostel Zone B using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0726,"Design a rooftop solar micro-project for a government school close to Old Town. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0727,"Prototype a solar-powered pump system to lift water from a small farm pond near Ward 12. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0728,"Design a low-cost water quality survey of handpumps in Ganga Vihar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0729,"Design a combined air quality and noise monitoring node for a busy junction in Riverfront Colony. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0730,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Riverfront Colony. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0731,Implement smart fill-level monitoring on dustbins across the university campus near Ganga Vihar. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0732,"Conduct a household survey on plastic waste segregation behaviors in Station Road Area. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0733,"Plan and deliver a community awareness campaign on safe water storage and handling in Old Town. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0734,"Create an online training module for sewer maintenance teams operating near University Campus. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0735,Develop a small web-based tool to prioritize drainage improvements in Lakeview Colony using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0736,"Plan a coordinated riverbank cleanup for a 2.8 km stretch near Industrial Layout. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0737,"Create a GIS map of informal waste dumping sites around Station Road Area. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0738,"Plan and deliver a community awareness campaign on safe water storage and handling in University Campus. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0739,"Plan a coordinated riverbank cleanup for a 3.6 km stretch near Green Park Extension. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0740,Develop a small web-based tool to prioritize drainage improvements in University Campus using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0741,"Design a low-cost water quality survey of handpumps in Riverfront Colony. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0742,"Create an online training module for sewer maintenance teams operating near Station Road Area. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0743,"Prototype a solar-powered pump system to lift water from a small farm pond near Industrial Layout. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0744,"Prepare a flood susceptibility map for University Campus using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0745,"Create a GIS map of informal waste dumping sites around Lalbagh. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0746,Implement smart fill-level monitoring on dustbins across the university campus near Yamuna Enclave. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0747,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Hostel Zone B. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0748,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Lakeview Colony. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0749,"Design a low-cost water quality survey of handpumps in Old Town. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0750,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Industrial Layout. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0751,"Design a combined air quality and noise monitoring node for a busy junction in Ganga Vihar. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0752,"Conduct a household survey on plastic waste segregation behaviors in Old Town. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0753,Implement smart fill-level monitoring on dustbins across the university campus near Industrial Layout. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0754,"Design a low-cost greywater reuse system for a hostel block in Shivaji Nagar. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0755,"Prepare a flood susceptibility map for Green Park Extension using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0756,"Prepare a flood susceptibility map for Green Park Extension using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0757,"Plan and deliver a community awareness campaign on safe water storage and handling in University Campus. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0758,"Design a combined air quality and noise monitoring node for a busy junction in Ganga Vihar. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0759,"Estimate rooftop rainwater harvesting potential for a group of houses in Hostel Zone B using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0760,"Design a low-cost greywater reuse system for a hostel block in Station Road Area. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0761,"Estimate rooftop rainwater harvesting potential for a group of houses in Yamuna Enclave using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0762,"Prepare a policy brief comparing local construction debris rules in Hostel Zone B with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0763,"Design a rooftop solar micro-project for a government school close to Green Park Extension. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0764,"Prototype an IoT-based flood alert node for a low bridge used by school children in Lalbagh. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0765,"Design a low-cost greywater reuse system for a hostel block in Shivaji Nagar. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0766,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Green Park Extension. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0767,"Estimate rooftop rainwater harvesting potential for a group of houses in Riverfront Colony using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0768,"Create a GIS map of informal waste dumping sites around Station Road Area. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0769,"Prepare a flood susceptibility map for Industrial Layout using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0770,"Create an online training module for sewer maintenance teams operating near Shivaji Nagar. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0771,"Design a low-cost water quality survey of handpumps in Ganga Vihar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0772,"Design a combined air quality and noise monitoring node for a busy junction in Hostel Zone B. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0773,"Design a rooftop solar micro-project for a government school close to Old Town. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0774,"Conduct a household survey on plastic waste segregation behaviors in Transport Nagar. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0775,"Design a combined air quality and noise monitoring node for a busy junction in Shivaji Nagar. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0776,"Plan and deliver a community awareness campaign on safe water storage and handling in Industrial Layout. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0777,"Design a low-cost water quality survey of handpumps in Ward 8. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0778,Develop a small web-based tool to prioritize drainage improvements in University Campus using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0779,"Design a low-cost water quality survey of handpumps in Riverfront Colony. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0780,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Riverfront Colony. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0781,"Design a low-cost water quality survey of handpumps in Yamuna Enclave. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0782,"Design a combined air quality and noise monitoring node for a busy junction in University Campus. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0783,"Plan and deliver a community awareness campaign on safe water storage and handling in Ward 12. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0784,"Plan and deliver a community awareness campaign on safe water storage and handling in Ward 8. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0785,Implement smart fill-level monitoring on dustbins across the university campus near Industrial Layout. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0786,"Estimate rooftop rainwater harvesting potential for a group of houses in Transport Nagar using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0787,"Design a rooftop solar micro-project for a government school close to Lalbagh. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0788,"Design a low-cost greywater reuse system for a hostel block in Ward 8. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0789,Implement smart fill-level monitoring on dustbins across the university campus near Lalbagh. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0790,"Design a low-cost greywater reuse system for a hostel block in Ward 12. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0791,Implement smart fill-level monitoring on dustbins across the university campus near Station Road Area. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0792,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Lakeview Colony. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0793,"Prototype a solar-powered pump system to lift water from a small farm pond near Old Town. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0794,Implement smart fill-level monitoring on dustbins across the university campus near Industrial Layout. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0795,"Create a GIS map of informal waste dumping sites around Riverfront Colony. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0796,"Design a combined air quality and noise monitoring node for a busy junction in Shivaji Nagar. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0797,"Plan a coordinated riverbank cleanup for a 2.4 km stretch near Shivaji Nagar. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0798,"Carry out microbiological testing of stored household drinking water in Ganga Vihar, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0799,"Plan and deliver a community awareness campaign on safe water storage and handling in Station Road Area. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0800,"Plan a coordinated riverbank cleanup for a 2.4 km stretch near Ganga Vihar. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0801,"Prepare a flood susceptibility map for Ward 8 using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0802,"Carry out microbiological testing of stored household drinking water in Yamuna Enclave, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0803,"Create an online training module for sewer maintenance teams operating near Transport Nagar. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0804,"Plan and deliver a community awareness campaign on safe water storage and handling in Industrial Layout. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0805,"Plan and deliver a community awareness campaign on safe water storage and handling in Shivaji Nagar. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0806,"Prepare a flood susceptibility map for Lalbagh using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0807,"Design a rooftop solar micro-project for a government school close to Station Road Area. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0808,"Prepare a policy brief comparing local construction debris rules in Old Town with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0809,"Design a combined air quality and noise monitoring node for a busy junction in Hostel Zone B. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0810,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Industrial Layout. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0811,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Ward 8. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0812,"Create an online training module for sewer maintenance teams operating near University Campus. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0813,"Prepare a policy brief comparing local construction debris rules in Station Road Area with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0814,"Create a GIS map of informal waste dumping sites around Old Town. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0815,"Create an online training module for sewer maintenance teams operating near Old Town. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0816,"Design a rooftop solar micro-project for a government school close to Lakeview Colony. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0817,"Create an online training module for sewer maintenance teams operating near Industrial Layout. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0818,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Lalbagh. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0819,"Prototype an IoT-based flood alert node for a low bridge used by school children in Lalbagh. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0820,"Design a low-cost water quality survey of handpumps in Old Town. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0821,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Ward 12. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0822,"Estimate rooftop rainwater harvesting potential for a group of houses in Hostel Zone B using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0823,"Plan and deliver a community awareness campaign on safe water storage and handling in Yamuna Enclave. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0824,"Design a low-cost greywater reuse system for a hostel block in University Campus. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0825,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Ward 12. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0826,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Ward 8. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0827,"Estimate rooftop rainwater harvesting potential for a group of houses in Transport Nagar using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0828,"Prototype an IoT-based flood alert node for a low bridge used by school children in Lalbagh. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0829,"Design a low-cost water quality survey of handpumps in Riverfront Colony. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0830,"Design a rooftop solar micro-project for a government school close to University Campus. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0831,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Transport Nagar. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0832,"Prototype a solar-powered pump system to lift water from a small farm pond near Transport Nagar. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0833,"Prototype a solar-powered pump system to lift water from a small farm pond near Industrial Layout. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0834,"Estimate rooftop rainwater harvesting potential for a group of houses in Lakeview Colony using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0835,"Prepare a policy brief comparing local construction debris rules in Old Town with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0836,"Prototype a solar-powered pump system to lift water from a small farm pond near University Campus. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0837,"Prepare a flood susceptibility map for Hostel Zone B using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0838,"Plan a coordinated riverbank cleanup for a 4.9 km stretch near Lalbagh. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0839,"Estimate rooftop rainwater harvesting potential for a group of houses in Yamuna Enclave using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0840,"Prepare a flood susceptibility map for Ganga Vihar using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0841,"Design a rooftop solar micro-project for a government school close to Transport Nagar. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0842,"Create a GIS map of informal waste dumping sites around Industrial Layout. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0843,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Transport Nagar. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0844,"Plan a coordinated riverbank cleanup for a 2.3 km stretch near Ward 8. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0845,"Create a GIS map of informal waste dumping sites around Lalbagh. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0846,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Lakeview Colony. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0847,"Design a low-cost water quality survey of handpumps in Ward 12. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0848,"Prototype a solar-powered pump system to lift water from a small farm pond near Old Town. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0849,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Hostel Zone B. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0850,"Design a low-cost water quality survey of handpumps in Green Park Extension. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0851,"Prepare a flood susceptibility map for University Campus using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
